dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
06/03/2005;15,366749;;;;;;
07/03/2005;15,265813;;;;;;
08/03/2005;15,16803;;;;;;
09/03/2005;15,073918;;;;;;
10/03/2005;14,983805;;;;;;
11/03/2005;14,897878;;;;;;
12/03/2005;14,816218;;;;;;
13/03/2005;14,738831;;;;;;
14/03/2005;14,665661;;;;;;
15/03/2005;14,596613;;;;;;
16/03/2005;14,531561;;;;;;
17/03/2005;14,470359;;;;;;
18/03/2005;14,4128475;;;;;;
19/03/2005;14,358858;;;;;;
20/03/2005;14,30822;;;;;;
21/03/2005;14,262296;;;;;;
22/03/2005;14,227324;;;;;;
23/03/2005;14,194784;;;;;;
24/03/2005;14,162449;;;;;;
25/03/2005;14,130689;;;;;;
26/03/2005;14,0997715;;;;;;
27/03/2005;14,069889;;;;;;
28/03/2005;14,041168;;;;;;
29/03/2005;14,014267;;;;;;
30/03/2005;13,98851;;;;;;
31/03/2005;13,963945;;;;;;
01/04/2005;13,940594;;;;;;
02/04/2005;13,918455;;;;;;
03/04/2005;13,898207;;;;;;
04/04/2005;13,878956;;;;;;
05/04/2005;13,860628;;;;;;
06/04/2005;13,842249;;;;;;
07/04/2005;13,823868;;;;;;
08/04/2005;13,805523;;;;;;
09/04/2005;13,787245;;;;;;
10/04/2005;13,769059;;;;;;
11/04/2005;13,750986;;;;;;
12/04/2005;13,733041;;;;;;
13/04/2005;13,715237;;;;;;
14/04/2005;13,697582;;;;;;
15/04/2005;13,680086;;;;;;
16/04/2005;13,662754;;;;;;
17/04/2005;13,64559;;;;;;
18/04/2005;13,628595;;;;;;
19/04/2005;13,611775;;;;;;
20/04/2005;13,59513;;;;;;
21/04/2005;13,57866;;;;;;
22/04/2005;13,562365;;;;;;
23/04/2005;13,546246;;;;;;
24/04/2005;13,530304;;;;;;
25/04/2005;13,514536;;;;;;
26/04/2005;13,49894;;;;;;
27/04/2005;13,483517;;;;;;
28/04/2005;13,468264;;;;;;
29/04/2005;13,45318;;;;;;
30/04/2005;13,438264;;;;;;
01/05/2005;13,423513;;;;;;
02/05/2005;13,408929;;;;;;
03/05/2005;13,394506;;;;;;
04/05/2005;13,380245;;;;;;
05/05/2005;13,366144;;;;;;
06/05/2005;13,352201;;;;;;
07/05/2005;13,338415;;;;;;
08/05/2005;13,324783;;;;;;
09/05/2005;13,311305;;;;;;
10/05/2005;13,297978;;;;;;
11/05/2005;13,2848015;;;;;;
12/05/2005;13,271772;;;;;;
13/05/2005;13,261751;;;;;;
14/05/2005;13,251312;;;;;;
15/05/2005;13,240559;;;;;;
16/05/2005;13,229573;;;;;;
17/05/2005;13,328113;;;;;;
18/05/2005;13,399916;;;;;;
19/05/2005;13,452081;;;;;;
20/05/2005;13,489497;;;;;;
21/05/2005;13,515656;;;;;;
22/05/2005;13,537287;;;;;;
23/05/2005;13,551197;;;;;;
24/05/2005;13,559069;;;;;;
25/05/2005;13,562192;;;;;;
26/05/2005;13,561568;;;;;;
27/05/2005;13,557981;;;;;;
28/05/2005;13,552047;;;;;;
29/05/2005;13,544258;;;;;;
30/05/2005;13,535006;;;;;;
31/05/2005;13,524601;;;;;;
01/06/2005;13,513298;;;;;;
02/06/2005;13,501295;;;;;;
03/06/2005;13,488759;;;;;;
04/06/2005;13,475819;;;;;;
05/06/2005;13,462582;;;;;;
06/06/2005;13,449134;;;;;;
07/06/2005;13,435544;;;;;;
08/06/2005;13,421868;;;;;;
09/06/2005;13,408153;;;;;;
10/06/2005;13,394433;;;;;;
11/06/2005;13,380738;;;;;;
12/06/2005;13,367093;;;;;;
13/06/2005;13,353882;;;;;;
14/06/2005;13,340683;;;;;;
15/06/2005;13,327519;;;;;;
16/06/2005;13,314413;;;;;;
17/06/2005;13,301379;;;;;;
18/06/2005;13,288431;;;;;;
19/06/2005;13,275579;;;;;;
20/06/2005;13,262833;;;;;;
21/06/2005;13,2501955;;;;;;
22/06/2005;13,237675;;;;;;
23/06/2005;13,225272;;;;;;
24/06/2005;13,212992;;;;;;
25/06/2005;13,200834;;;;;;
26/06/2005;13,188803;;;;;;
27/06/2005;13,176896;;;;;;
28/06/2005;13,165115;;;;;;
29/06/2005;13,153461;;;;;;
30/06/2005;13,141933;;;;;;
01/07/2005;13,130531;;;;;;
02/07/2005;13,119253;;;;;;
03/07/2005;13,1081;;;;;;
04/07/2005;13,09769;;;;;;
05/07/2005;13,08728;;;;;;
06/07/2005;13,076893;;;;;;
07/07/2005;13,0665455;;;;;;
08/07/2005;13,056251;;;;;;
09/07/2005;13,046021;;;;;;
10/07/2005;13,035865;;;;;;
11/07/2005;13,025788;;;;;;
12/07/2005;13,015798;;;;;;
13/07/2005;13,005897;;;;;;
14/07/2005;12,996088;;;;;;
15/07/2005;12,986376;;;;;;
16/07/2005;12,97676;;;;;;
17/07/2005;12,967242;;;;;;
18/07/2005;12,957823;;;;;;
19/07/2005;12,9485035;;;;;;
20/07/2005;12,939283;;;;;;
