dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
2005-01-08;13,774334;;;;;;
2005-01-09;13,700603;;;;;;
2005-01-10;13,631798;;;;;;
2005-01-11;13,567661;;;;;;
2005-01-12;13,507935;;;;;;
2005-01-13;13,452364;;;;;;
2005-01-14;13,400698;;;;;;
2005-01-15;13,352697;;;;;;
2005-01-16;13,308128;;;;;;
2005-01-17;13,266769;;;;;;
2005-01-18;13,252471;;;;;;
2005-01-19;13,235052;;;;;;
2005-01-20;13,215494;;;;;;
2005-01-21;13,19456;;;;;;
2005-01-22;13,172849;;;;;;
2005-01-23;13,150824;;;;;;
2005-01-24;13,128841;;;;;;
2005-01-25;13,107172;;;;;;
2005-01-26;13,08602;;;;;;
2005-01-27;13,064537;;;;;;
2005-01-28;13,04253;;;;;;
2005-01-29;13,020149;;;;;;
2005-01-30;12,997517;;;;;;
2005-01-31;12,974731;;;;;;
2005-02-01;12,951879;;;;;;
2005-02-02;12,929027;;;;;;
2005-02-03;12,906233;;;;;;
2005-02-04;12,883543;;;;;;
2005-02-05;12,860996;;;;;;
2005-02-06;13,424837;;;;;;
2005-02-07;15,959217;;;;;;
2005-02-08;19,1597;;;;;;
2005-02-09;19,847595;;;;;;
2005-02-10;19,977991;;;;;;
2005-02-11;19,871572;;;;;;
2005-02-12;19,645409;;;;;;
2005-02-13;19,363811;;;;;;
2005-02-14;19,045868;;;;;;
2005-02-15;18,711;;;;;;
2005-02-16;18,371283;;;;;;
2005-02-17;18,034452;;;;;;
2005-02-18;17,70552;;;;;;
2005-02-19;17,433147;;;;;;
2005-02-20;17,160751;;;;;;
2005-02-21;16,908758;;;;;;
2005-02-22;16,659904;;;;;;
2005-02-23;16,417345;;;;;;
2005-02-24;16,183165;;;;;;
2005-02-25;15,958703;;;;;;
2005-02-26;15,744768;;;;;;
2005-02-27;15,541779;;;;;;
2005-02-28;15,349879;;;;;;
2005-03-01;15,169011;;;;;;
2005-03-02;14,99897;;;;;;
2005-03-03;14,839449;;;;;;
2005-03-04;14,690072;;;;;;
2005-03-05;14,568907;;;;;;
2005-03-06;14,452398;;;;;;
2005-03-07;14,34101;;;;;;
2005-03-08;14,235016;;;;;;
2005-03-09;14,134544;;;;;;
2005-03-10;14,039616;;;;;;
2005-03-11;13,95017;;;;;;
2005-03-12;13,866089;;;;;;
2005-03-13;13,78721;;;;;;
2005-03-14;13,713341;;;;;;
2005-03-15;13,64427;;;;;;
2005-03-16;13,579771;;;;;;
2005-03-17;13,519612;;;;;;
2005-03-18;13,463562;;;;;;
2005-03-19;13,411386;;;;;;
2005-03-20;13,362857;;;;;;
2005-03-21;13,318963;;;;;;
2005-03-22;13,284374;;;;;;
2005-03-23;13,252573;;;;;;
2005-03-24;13,221767;;;;;;
2005-03-25;13,192121;;;;;;
2005-03-26;13,163743;;;;;;
2005-03-27;13,1367035;;;;;;
2005-03-28;13,111036;;;;;;
2005-03-29;13,087192;;;;;;
2005-03-30;13,063551;;;;;;
2005-03-31;13,039772;;;;;;
2005-04-01;13,015936;;;;;;
2005-04-02;12,992113;;;;;;
2005-04-03;12,968927;;;;;;
2005-04-04;12,945758;;;;;;
2005-04-05;12,922661;;;;;;
2005-04-06;12,89968;;;;;;
2005-04-07;12,876853;;;;;;
2005-04-08;12,85421;;;;;;
2005-04-09;12,831773;;;;;;
2005-04-10;12,809564;;;;;;
2005-04-11;12,787598;;;;;;
2005-04-12;12,765886;;;;;;
2005-04-13;12,744439;;;;;;
2005-04-14;12,723264;;;;;;
2005-04-15;12,702365;;;;;;
2005-04-16;12,6817465;;;;;;
2005-04-17;12,661411;;;;;;
2005-04-18;12,64136;;;;;;
2005-04-19;12,621593;;;;;;
2005-04-20;12,60211;;;;;;
2005-04-21;12,58291;;;;;;
2005-04-22;12,563991;;;;;;
2005-04-23;12,545351;;;;;;
2005-04-24;12,526989;;;;;;
2005-04-25;12,508902;;;;;;
2005-04-26;12,491085;;;;;;
2005-04-27;12,4735365;;;;;;
2005-04-28;12,456253;;;;;;
2005-04-29;12,439231;;;;;;
2005-04-30;12,422468;;;;;;
2005-05-01;12,405959;;;;;;
2005-05-02;12,389702;;;;;;
2005-05-03;12,373693;;;;;;
2005-05-04;12,357929;;;;;;
2005-05-05;12,342405;;;;;;
2005-05-06;12,327121;;;;;;
2005-05-07;12,312069;;;;;;
2005-05-08;12,297249;;;;;;
2005-05-09;12,282656;;;;;;
2005-05-10;12,268287;;;;;;
2005-05-11;12,254139;;;;;;
2005-05-12;12,240208;;;;;;
2005-05-13;12,228606;;;;;;
2005-05-14;12,216843;;;;;;
2005-05-15;12,204973;;;;;;
2005-05-16;12,193047;;;;;;
2005-05-17;12,263876;;;;;;
2005-05-18;12,318066;;;;;;
2005-05-19;12,359061;;;;;;
2005-05-20;12,389505;;;;;;
2005-05-21;12,411455;;;;;;
2005-05-22;12,429704;;;;;;
2005-05-23;12,44175;;;;;;
2005-05-24;12,448752;;;;;;
2005-05-25;12,451647;;;;;;
2005-05-26;12,451191;;;;;;
2005-05-27;12,448005;;;;;;
2005-05-28;12,4425955;;;;;;
2005-05-29;12,435379;;;;;;
2005-05-30;12,4267;;;;;;
2005-05-31;12,4168415;;;;;;
2005-06-01;12,406039;;;;;;
2005-06-02;12,394487;;;;;;
2005-06-03;12,382349;;;;;;
2005-06-04;12,369757;;;;;;
2005-06-05;12,356821;;;;;;
2005-06-06;12,3436365;;;;;;
2005-06-07;12,330279;;;;;;
2005-06-08;12,3168125;;;;;;
2005-06-09;12,3032875;;;;;;
2005-06-10;12,28975;;;;;;
2005-06-11;12,276236;;;;;;
2005-06-12;12,2627735;;;;;;
2005-06-13;12,2496605;;;;;;
2005-06-14;12,236594;;;;;;
2005-06-15;12,223602;;;;;;
2005-06-16;12,210701;;;;;;
2005-06-17;12,197908;;;;;;
2005-06-18;12,185237;;;;;;
2005-06-19;12,172696;;;;;;
2005-06-20;12,1602955;;;;;;
2005-06-21;12,148041;;;;;;
2005-06-22;12,135937;;;;;;
2005-06-23;12,123988;;;;;;
2005-06-24;12,112197;;;;;;
2005-06-25;12,100565;;;;;;
2005-06-26;12,089092;;;;;;
2005-06-27;12,077782;;;;;;
2005-06-28;12,066631;;;;;;
2005-06-29;12,055642;;;;;;
2005-06-30;12,044813;;;;;;
2005-07-01;12,0341425;;;;;;
2005-07-02;12,02363;;;;;;
